Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
with_index_500,1,1,1005.32,3911.12,3013.97,892.15,5.00,581.08,0.00,0.00,897.15
with_index_500,2,1,1020.17,3866.91,3054.51,808.40,4.00,624.37,0.00,0.00,812.40
with_index_500,3,1,1004.04,3718.08,3010.12,705.96,2.00,695.49,0.00,0.00,707.96
with_index_500,4,1,957.01,3540.05,2864.04,672.01,4.00,747.62,0.00,0.00,676.01
with_index_500,5,1,947.01,3540.02,2837.03,700.99,2.00,695.77,0.00,0.00,702.99
with_index_500,6,1,1013.97,3931.87,3035.91,891.96,4.00,695.51,0.00,0.00,895.96
with_index_500,7,1,1017.91,3851.81,3052.74,797.07,2.00,540.75,0.00,0.00,799.07
with_index_500,8,1,1010.06,3764.16,3024.19,735.97,4.00,708.13,0.00,0.00,739.97
with_index_5000,1,1,299.77,1971.36,900.30,1068.07,3.00,3.43,0.00,0.00,1071.06
with_index_5000,2,1,303.10,2029.83,908.31,1121.52,0.00,3.49,0.00,0.00,1121.52
with_index_5000,3,1,302.98,1993.89,908.95,1084.94,0.00,3.49,0.00,0.00,1084.94
with_index_5000,4,1,298.01,1977.06,896.02,1081.04,0.00,3.49,0.00,0.00,1081.04
with_index_5000,5,1,301.01,1846.00,899.04,944.96,2.00,4603.48,0.00,0.00,946.96
with_index_5000,6,1,302.96,1909.92,907.89,1002.03,0.00,3.49,0.00,0.00,1002.03
with_index_5000,7,1,299.02,1927.05,897.07,1029.98,0.00,3.49,0.00,0.00,1029.98
with_index_5000,8,1,298.99,1924.00,898.98,1025.02,0.00,3.49,0.00,0.00,1025.02
without_index_500,1,1,750.39,3074.37,2250.15,819.23,5.00,571.06,0.00,0.00,824.22
without_index_500,2,1,767.29,3048.21,2295.86,748.34,4.00,671.26,0.00,0.00,752.35
without_index_500,3,1,756.98,3059.90,2266.93,790.97,2.00,671.41,0.00,0.00,792.97
without_index_500,4,1,760.00,3093.05,2274.00,815.05,4.00,659.32,0.00,0.00,819.05
without_index_500,5,1,761.01,3227.04,2277.04,946.00,4.00,560.89,0.00,0.00,950.00
without_index_500,6,1,768.96,3296.83,2299.88,992.95,4.00,531.45,0.00,0.00,996.95
without_index_500,7,1,764.05,3428.17,2288.16,1136.01,4.00,468.67,0.00,0.00,1140.01
without_index_500,8,1,767.99,3413.97,2296.96,1113.01,4.00,452.14,0.00,0.00,1117.01
without_index_5000,1,1,145.89,1411.76,438.66,970.10,3.00,6.91,0.00,0.00,973.10
without_index_5000,2,1,148.04,1465.57,443.12,1022.45,0.00,7.04,0.00,0.00,1022.45
without_index_5000,3,1,148.00,1533.01,444.01,1089.00,0.00,7.04,0.00,0.00,1089.00
without_index_5000,4,1,145.00,1530.91,436.01,1094.90,0.00,7.56,0.00,0.00,1094.90
without_index_5000,5,1,145.00,1450.12,432.00,1016.12,2.00,4776.37,0.00,0.00,1018.12
without_index_5000,6,1,148.01,1558.97,443.02,1115.95,0.00,6.91,0.00,0.00,1115.95
without_index_5000,7,1,149.00,1327.98,447.99,879.99,0.00,6.91,0.00,0.00,879.99
without_index_5000,8,1,149.00,1255.99,447.01,808.98,0.00,6.91,0.00,0.00,808.98
