Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
int_queries_insert,2,4,0.00,3212.52,0.00,801.13,2411.39,0.00,0.00,0.00
int_queries_insert,4,4,0.00,3644.71,0.00,911.18,2733.53,0.00,0.00,0.00
int_queries_insert,6,4,0.00,3409.02,0.00,852.50,2556.51,0.00,0.00,0.00
int_queries_insert,8,4,0.00,3142.95,0.00,785.49,2357.46,0.00,0.00,0.00
int_queries_insert,10,4,0.00,3424.13,0.00,856.03,2568.09,0.00,0.00,0.00
int_queries_insert,12,4,0.00,3769.99,0.00,942.50,2827.49,0.00,0.00,0.00
int_queries_insert,14,4,0.00,3330.05,0.00,832.51,2497.54,0.00,0.00,0.00
int_queries_insert,16,4,0.00,3235.99,0.00,809.00,2426.99,0.00,0.00,0.00
int_queries_insert,18,4,0.00,3847.86,0.00,961.97,2885.90,0.00,0.00,0.00
int_queries_insert,20,4,0.00,3510.06,0.00,877.52,2632.55,0.00,0.00,0.00
int_queries_insert,22,4,0.00,3459.96,0.00,864.99,2594.97,0.00,0.00,0.00
int_queries_insert,24,4,0.00,3452.12,0.00,863.03,2589.09,0.00,0.00,0.00
int_queries_select,2,4,141.44,141.44,141.44,0.00,0.00,28.16,0.00,0.00
int_queries_select,4,4,143.02,143.02,143.02,0.00,0.00,28.67,0.00,0.00
int_queries_select,6,4,143.50,143.50,143.50,0.00,0.00,28.67,0.00,0.00
int_queries_select,8,4,143.50,143.50,143.50,0.00,0.00,28.16,0.00,0.00
int_queries_select,10,4,143.50,143.50,143.50,0.00,0.00,28.16,0.00,0.00
int_queries_select,12,4,143.50,143.50,143.50,0.00,0.00,28.67,0.00,0.00
int_queries_select,14,4,143.00,143.00,143.00,0.00,0.00,28.16,0.00,0.00
int_queries_select,16,4,143.50,143.50,143.50,0.00,0.00,28.67,0.00,0.00
int_queries_select,18,4,144.50,144.50,144.50,0.00,0.00,28.16,0.00,0.00
varchar_queries_1_insert,2,4,0.00,3484.59,0.00,872.02,2612.57,0.00,0.50,0.00
varchar_queries_1_insert,4,4,0.00,3188.94,0.00,797.24,2391.71,0.00,0.00,0.00
varchar_queries_1_insert,6,4,0.00,3177.93,0.00,794.48,2383.44,0.00,0.00,0.00
varchar_queries_1_insert,8,4,0.00,3268.06,0.00,817.02,2451.05,0.00,0.00,0.00
varchar_queries_1_insert,10,4,0.00,3224.03,0.00,806.01,2418.02,0.00,0.00,0.00
varchar_queries_1_insert,12,4,0.00,3313.45,0.00,828.49,2484.96,0.00,0.00,0.00
varchar_queries_1_insert,14,4,0.00,3275.93,0.00,818.48,2457.45,0.00,0.00,0.00
varchar_queries_1_insert,16,4,0.00,3044.50,0.00,761.50,2283.00,0.00,0.00,0.00
varchar_queries_1_insert,18,4,0.00,3191.96,0.00,797.99,2393.97,0.00,0.00,0.00
varchar_queries_1_insert,20,4,0.00,3316.12,0.00,829.03,2487.09,0.00,0.00,0.00
varchar_queries_1_insert,22,4,0.00,3163.94,0.00,790.98,2372.95,0.00,0.00,0.00
varchar_queries_1_insert,24,4,0.00,3098.12,0.00,774.53,2323.59,0.00,0.00,0.00
varchar_queries_1_insert,26,4,0.00,3149.80,0.00,787.45,2362.35,0.00,0.00,0.00
varchar_queries_1_select,2,4,68.97,68.97,68.97,0.00,0.00,59.99,0.00,0.00
varchar_queries_1_select,4,4,70.52,70.52,70.52,0.00,0.00,59.99,0.00,0.00
varchar_queries_1_select,6,4,70.00,70.00,70.00,0.00,0.00,61.08,0.00,0.00
varchar_queries_1_select,8,4,94.50,94.50,94.50,0.00,0.00,56.84,0.00,0.00
varchar_queries_1_select,10,4,124.50,124.50,124.50,0.00,0.00,32.53,0.00,0.00
varchar_queries_1_select,12,4,125.00,125.00,125.00,0.00,0.00,32.53,0.00,0.00
varchar_queries_1_select,14,4,124.50,124.50,124.50,0.00,0.00,32.53,0.00,0.00
varchar_queries_1_select,16,4,124.50,124.50,124.50,0.00,0.00,32.53,0.00,0.00
varchar_queries_1_select,18,4,124.00,124.00,124.00,0.00,0.00,32.53,0.00,0.00
varchar_queries_64_insert,2,4,0.00,3266.40,0.00,814.60,2451.80,0.00,0.00,0.00
varchar_queries_64_insert,4,4,0.00,3213.05,0.00,803.64,2409.41,0.00,0.00,0.00
varchar_queries_64_insert,6,4,0.00,3579.75,0.00,894.56,2685.19,0.00,0.00,0.00
varchar_queries_64_insert,8,4,0.00,3598.00,0.00,899.50,2698.50,0.00,0.00,0.00
varchar_queries_64_insert,10,4,0.00,3127.93,0.00,781.98,2345.94,0.00,0.00,0.00
varchar_queries_64_insert,12,4,0.00,3220.15,0.00,805.04,2415.11,0.00,0.00,0.00
varchar_queries_64_insert,14,4,0.00,3183.98,0.00,796.00,2387.99,0.00,0.00,0.00
varchar_queries_64_insert,16,4,0.00,3183.91,0.00,795.98,2387.93,0.00,0.00,0.00
varchar_queries_64_insert,18,4,0.00,3278.43,0.00,819.98,2458.45,0.00,0.00,0.00
varchar_queries_64_insert,20,4,0.00,3275.57,0.00,818.52,2457.05,0.00,0.00,0.00
varchar_queries_64_insert,22,4,0.00,3169.97,0.00,792.49,2377.48,0.00,0.00,0.00
varchar_queries_64_insert,24,4,0.00,3696.19,0.00,924.05,2772.14,0.00,0.00,0.00
varchar_queries_64_insert,26,4,0.00,3235.81,0.00,808.95,2426.86,0.00,0.00,0.00
varchar_queries_64_select,2,4,102.95,102.95,102.95,0.00,0.00,41.10,0.00,0.00
varchar_queries_64_select,4,4,104.02,104.02,104.02,0.00,0.00,40.37,0.00,0.00
varchar_queries_64_select,6,4,104.50,104.50,104.50,0.00,0.00,38.94,0.00,0.00
varchar_queries_64_select,8,4,106.00,106.00,106.00,0.00,0.00,38.94,0.00,0.00
varchar_queries_64_select,10,4,103.50,103.50,103.50,0.00,0.00,39.65,0.00,0.00
varchar_queries_64_select,12,4,105.00,105.00,105.00,0.00,0.00,38.25,0.00,0.00
varchar_queries_64_select,14,4,104.00,104.00,104.00,0.00,0.00,41.10,0.00,0.00
varchar_queries_64_select,16,4,104.50,104.50,104.50,0.00,0.00,38.25,0.00,0.00
varchar_queries_64_select,18,4,105.50,105.50,105.50,0.00,0.00,38.25,0.00,0.00
