Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
int_queries_insert,2,4,0.00,4439.51,0.00,1107.88,3331.63,0.00,0.00,0.00
int_queries_insert,4,4,0.00,4467.37,0.00,1116.84,3350.53,0.00,0.00,0.00
int_queries_insert,6,4,0.00,4465.93,0.00,1116.48,3349.45,0.00,0.00,0.00
int_queries_insert,8,4,0.00,4599.03,0.00,1150.01,3449.03,0.00,0.00,0.00
int_queries_insert,10,4,0.00,4234.31,0.00,1058.33,3175.98,0.00,0.00,0.00
int_queries_insert,12,4,0.00,4436.71,0.00,1109.18,3327.53,0.00,0.00,0.00
int_queries_insert,14,4,0.00,4587.99,0.00,1147.00,3440.99,0.00,0.00,0.00
int_queries_insert,16,4,0.00,4570.19,0.00,1142.55,3427.64,0.00,0.00,0.00
int_queries_insert,18,4,0.00,4546.81,0.00,1136.95,3409.86,0.00,0.00,0.00
int_queries_select,2,4,138.94,138.94,138.94,0.00,0.00,30.81,0.00,0.00
int_queries_select,4,4,143.52,143.52,143.52,0.00,0.00,28.67,0.00,0.00
int_queries_select,6,4,143.00,143.00,143.00,0.00,0.00,29.19,0.00,0.00
int_queries_select,8,4,143.50,143.50,143.50,0.00,0.00,28.16,0.00,0.00
int_queries_select,10,4,142.50,142.50,142.50,0.00,0.00,28.16,0.00,0.00
int_queries_select,12,4,143.00,143.00,143.00,0.00,0.00,28.16,0.00,0.00
int_queries_select,14,4,144.00,144.00,144.00,0.00,0.00,28.16,0.00,0.00
int_queries_select,16,4,143.50,143.50,143.50,0.00,0.00,28.16,0.00,0.00
int_queries_select,18,4,144.00,144.00,144.00,0.00,0.00,28.16,0.00,0.00
varchar_queries_1_insert,2,4,0.00,3654.14,0.00,911.54,2742.61,0.00,0.00,0.00
varchar_queries_1_insert,4,4,0.00,3711.10,0.00,927.77,2783.32,0.00,0.00,0.00
varchar_queries_1_insert,6,4,0.00,3741.75,0.00,935.44,2806.32,0.00,0.00,0.00
varchar_queries_1_insert,8,4,0.00,3831.64,0.00,958.04,2873.61,0.00,0.00,0.00
varchar_queries_1_insert,10,4,0.00,3656.51,0.00,914.00,2742.51,0.00,0.00,0.00
varchar_queries_1_insert,12,4,0.00,3758.00,0.00,939.50,2818.50,0.00,0.00,0.00
varchar_queries_1_insert,14,4,0.00,3683.49,0.00,921.00,2762.49,0.00,0.00,0.00
varchar_queries_1_insert,16,4,0.00,3592.54,0.00,898.01,2694.53,0.00,0.00,0.00
varchar_queries_1_insert,18,4,0.00,3573.94,0.00,893.48,2680.45,0.00,0.00,0.00
varchar_queries_1_insert,20,4,0.00,3707.99,0.00,927.00,2780.99,0.00,0.00,0.00
varchar_queries_1_insert,22,4,0.00,3733.91,0.00,933.48,2800.44,0.00,0.00,0.00
varchar_queries_1_select,2,4,70.46,70.46,70.46,0.00,0.00,63.32,0.00,0.00
varchar_queries_1_select,4,4,72.02,72.02,72.02,0.00,0.00,59.99,0.00,0.00
varchar_queries_1_select,6,4,72.50,72.50,72.50,0.00,0.00,54.83,0.00,0.00
varchar_queries_1_select,8,4,73.50,73.50,73.50,0.00,0.00,55.82,0.00,0.00
varchar_queries_1_select,10,4,119.00,119.00,119.00,0.00,0.00,54.83,0.00,0.00
varchar_queries_1_select,12,4,124.00,124.00,124.00,0.00,0.00,33.12,0.00,0.00
