Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
int_queries_insert,2,4,0.00,3462.24,0.00,863.56,2598.68,0.00,0.00,0.00
int_queries_insert,4,4,0.00,3108.76,0.00,777.19,2331.57,0.00,0.00,0.00
int_queries_insert,6,4,0.00,3310.15,0.00,827.54,2482.61,0.00,0.00,0.00
int_queries_insert,8,4,0.00,3425.90,0.00,856.48,2569.43,0.00,0.00,0.00
int_queries_insert,10,4,0.00,3328.06,0.00,832.01,2496.04,0.00,0.00,0.00
int_queries_insert,12,4,0.00,3341.87,0.00,835.47,2506.40,0.00,0.00,0.00
int_queries_insert,14,4,0.00,3747.97,0.00,936.99,2810.98,0.00,0.00,0.00
int_queries_insert,16,4,0.00,3664.04,0.00,916.01,2748.03,0.00,0.00,0.00
int_queries_insert,18,4,0.00,3998.12,0.00,999.53,2998.59,0.00,0.00,0.00
int_queries_insert,20,4,0.00,4167.90,0.00,1041.97,3125.92,0.00,0.00,0.00
int_queries_insert,22,4,0.00,3812.00,0.00,953.00,2859.00,0.00,0.00,0.00
int_queries_insert,24,4,0.00,3318.01,0.00,829.50,2488.51,0.00,0.00,0.00
int_queries_select,2,4,140.94,140.94,140.94,0.00,0.00,28.67,0.00,0.00
int_queries_select,4,4,143.03,143.03,143.03,0.00,0.00,28.67,0.00,0.00
int_queries_select,6,4,140.99,140.99,140.99,0.00,0.00,28.16,0.00,0.00
int_queries_select,8,4,143.50,143.50,143.50,0.00,0.00,28.16,0.00,0.00
int_queries_select,10,4,144.00,144.00,144.00,0.00,0.00,28.16,0.00,0.00
int_queries_select,12,4,143.00,143.00,143.00,0.00,0.00,28.16,0.00,0.00
int_queries_select,14,4,143.50,143.50,143.50,0.00,0.00,28.16,0.00,0.00
int_queries_select,16,4,144.00,144.00,144.00,0.00,0.00,28.16,0.00,0.00
int_queries_select,18,4,143.00,143.00,143.00,0.00,0.00,28.16,0.00,0.00
