Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
with_index_500,1,1,999.32,3696.33,2996.96,694.38,5.00,683.20,0.00,0.00,699.37
with_index_500,2,1,1025.22,3699.90,3071.66,626.24,2.00,760.92,0.00,0.00,628.24
with_index_500,3,1,1004.01,3636.05,3010.02,624.03,2.00,832.52,0.00,0.00,626.03
with_index_500,4,1,1005.98,3629.90,3009.94,615.96,4.00,817.73,0.00,0.00,619.96
with_index_500,5,1,1018.01,3842.09,3053.04,787.05,2.00,658.99,0.00,0.00,789.05
with_index_500,6,1,1038.95,3820.83,3109.86,706.97,4.00,683.09,0.00,0.00,710.97
with_index_500,7,1,1038.94,3870.83,3114.83,754.00,2.00,670.93,0.00,0.00,756.00
with_index_500,8,1,1037.12,3797.35,3106.36,688.99,2.00,720.95,0.00,0.00,690.99
with_index_5000,1,1,295.77,1698.55,888.32,807.23,3.00,3.55,0.00,0.00,810.23
with_index_5000,2,1,297.08,1964.71,891.23,1073.48,0.00,3.55,0.00,0.00,1073.48
with_index_5000,3,1,296.00,2003.97,888.00,1115.97,0.00,3.68,0.00,0.00,1115.97
with_index_5000,4,1,300.01,2002.04,900.03,1102.01,0.00,3.55,0.00,0.00,1102.01
with_index_5000,5,1,302.99,1910.93,905.98,1002.95,2.00,4772.03,0.00,0.00,1004.95
with_index_5000,6,1,298.00,1725.03,894.01,831.02,0.00,3.55,0.00,0.00,831.02
with_index_5000,7,1,298.00,1546.01,893.99,652.02,0.00,3.55,0.00,0.00,652.02
without_index_500,1,1,769.48,2951.78,2305.43,641.36,4.99,775.05,0.00,0.00,646.35
without_index_500,2,1,770.16,2990.86,2307.47,681.39,2.00,775.07,0.00,0.00,683.39
without_index_500,3,1,775.03,3038.07,2319.08,714.99,4.00,721.29,0.00,0.00,718.99
without_index_500,4,1,776.00,2905.00,2327.00,576.00,2.00,847.94,0.00,0.00,578.00
without_index_500,5,1,770.02,2848.05,2307.06,538.99,2.00,944.55,0.00,0.00,540.99
without_index_500,6,1,774.99,3022.95,2320.97,699.98,2.00,818.00,0.00,0.00,701.98
without_index_500,7,1,788.99,3454.97,2361.97,1089.00,4.00,636.00,0.00,0.00,1093.00
without_index_5000,1,1,140.87,1030.98,424.62,603.37,3.00,8.43,0.00,0.00,606.36
without_index_5000,2,1,144.07,1346.72,432.21,914.51,0.00,7.43,0.00,0.00,914.51
without_index_5000,3,1,144.99,1324.94,434.96,889.98,0.00,7.04,0.00,0.00,889.98
without_index_5000,4,1,147.01,1323.07,439.02,884.05,0.00,7.04,0.00,0.00,884.05
without_index_5000,5,1,146.00,1273.98,437.99,835.99,0.00,7.04,0.00,0.00,835.99
without_index_5000,6,1,146.00,1231.98,437.99,793.99,0.00,7.04,0.00,0.00,793.99
without_index_5000,7,1,148.01,1111.06,443.04,666.02,2.00,6142.82,0.00,0.00,668.02
without_index_5000,8,1,147.00,1198.98,439.00,759.98,0.00,7.04,0.00,0.00,759.98
