Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
int_queries_insert,2,4,0.00,3514.20,0.00,876.55,2637.65,0.00,0.00,0.00
int_queries_insert,4,4,0.00,3814.84,0.00,953.71,2861.13,0.00,0.00,0.00
int_queries_insert,6,4,0.00,4125.98,0.00,1031.49,3094.48,0.00,0.00,0.00
int_queries_insert,8,4,0.00,4127.99,0.00,1032.00,3095.99,0.00,0.00,0.00
int_queries_insert,10,4,0.00,3738.20,0.00,934.55,2803.65,0.00,0.00,0.00
int_queries_insert,12,4,0.00,3913.85,0.00,978.46,2935.39,0.00,0.00,0.00
int_queries_insert,14,4,0.00,3758.10,0.00,939.53,2818.58,0.00,0.00,0.00
int_queries_insert,16,4,0.00,3723.84,0.00,930.96,2792.88,0.00,0.00,0.00
int_queries_insert,18,4,0.00,3842.05,0.00,960.51,2881.53,0.00,0.00,0.00
int_queries_insert,20,4,0.00,3748.06,0.00,937.02,2811.05,0.00,0.00,0.00
int_queries_insert,22,4,0.00,3745.94,0.00,936.48,2809.45,0.00,0.00,0.00
int_queries_select,2,4,78.96,78.96,78.96,0.00,0.00,53.85,0.00,0.00
int_queries_select,4,4,82.02,82.02,82.02,0.00,0.00,50.11,0.00,0.00
int_queries_select,6,4,80.50,80.50,80.50,0.00,0.00,51.94,0.00,0.00
int_queries_select,8,4,80.50,80.50,80.50,0.00,0.00,52.89,0.00,0.00
int_queries_select,10,4,82.00,82.00,82.00,0.00,0.00,51.02,0.00,0.00
int_queries_select,12,4,79.50,79.50,79.50,0.00,0.00,52.89,0.00,0.00
int_queries_select,14,4,81.50,81.50,81.50,0.00,0.00,51.94,0.00,0.00
int_queries_select,16,4,81.50,81.50,81.50,0.00,0.00,51.94,0.00,0.00
int_queries_select,18,4,81.00,81.00,81.00,0.00,0.00,52.89,0.00,0.00
varchar_queries_1_insert,2,4,0.00,3320.19,0.00,828.05,2492.14,0.00,0.00,0.00
varchar_queries_1_insert,4,4,0.00,3224.41,0.00,806.23,2418.18,0.00,0.00,0.00
varchar_queries_1_insert,6,4,0.00,3260.51,0.00,815.00,2445.51,0.00,0.00,0.00
varchar_queries_1_insert,8,4,0.00,3273.93,0.00,818.48,2455.45,0.00,0.00,0.00
varchar_queries_1_insert,10,4,0.00,3295.56,0.00,824.01,2471.54,0.00,0.00,0.00
varchar_queries_1_insert,12,4,0.00,3408.51,0.00,852.00,2556.51,0.00,0.00,0.00
varchar_queries_1_insert,14,4,0.00,3293.92,0.00,823.48,2470.44,0.00,0.00,0.00
varchar_queries_1_insert,16,4,0.00,3248.09,0.00,812.02,2436.07,0.00,0.00,0.00
varchar_queries_1_insert,18,4,0.00,3324.04,0.00,831.01,2493.03,0.00,0.00,0.00
varchar_queries_1_insert,20,4,0.00,3715.93,0.00,928.98,2786.95,0.00,0.00,0.00
varchar_queries_1_insert,22,4,0.00,3570.09,0.00,892.52,2677.57,0.00,0.00,0.00
varchar_queries_1_insert,24,4,0.00,3559.83,0.00,889.96,2669.87,0.00,0.00,0.00
varchar_queries_1_select,2,4,119.94,119.94,119.94,0.00,0.00,36.89,0.00,0.00
varchar_queries_1_select,4,4,125.02,125.02,125.02,0.00,0.00,32.53,0.00,0.00
varchar_queries_1_select,6,4,123.00,123.00,123.00,0.00,0.00,34.95,0.00,0.00
varchar_queries_1_select,8,4,125.00,125.00,125.00,0.00,0.00,33.12,0.00,0.00
varchar_queries_1_select,10,4,124.00,124.00,124.00,0.00,0.00,32.53,0.00,0.00
varchar_queries_1_select,12,4,125.00,125.00,125.00,0.00,0.00,32.53,0.00,0.00
varchar_queries_1_select,14,4,125.00,125.00,125.00,0.00,0.00,32.53,0.00,0.00
varchar_queries_1_select,16,4,123.00,123.00,123.00,0.00,0.00,32.53,0.00,0.00
varchar_queries_1_select,18,4,125.00,125.00,125.00,0.00,0.00,32.53,0.00,0.00
varchar_queries_64_insert,2,4,0.00,3404.03,0.00,849.01,2555.02,0.00,0.00,0.00
varchar_queries_64_insert,4,4,0.00,3499.04,0.00,874.76,2624.28,0.00,0.00,0.00
varchar_queries_64_insert,6,4,0.00,3516.08,0.00,879.02,2637.06,0.00,0.00,0.00
varchar_queries_64_insert,8,4,0.00,3547.88,0.00,886.97,2660.91,0.00,0.00,0.00
varchar_queries_64_insert,10,4,0.00,3576.14,0.00,894.03,2682.10,0.00,0.00,0.00
varchar_queries_64_insert,12,4,0.00,3436.06,0.00,859.02,2577.05,0.00,0.00,0.00
varchar_queries_64_insert,14,4,0.00,3572.01,0.00,893.00,2679.01,0.00,0.00,0.00
varchar_queries_64_insert,16,4,0.00,3443.90,0.00,860.97,2582.92,0.00,0.00,0.00
varchar_queries_64_insert,18,4,0.00,3603.93,0.00,900.98,2702.95,0.00,0.00,0.00
varchar_queries_64_insert,20,4,0.00,3572.00,0.00,893.00,2679.00,0.00,0.00,0.00
varchar_queries_64_insert,22,4,0.00,3690.12,0.00,922.53,2767.59,0.00,0.00,0.00
varchar_queries_64_insert,24,4,0.00,3585.92,0.00,896.48,2689.44,0.00,0.00,0.00
varchar_queries_64_select,2,4,103.45,103.45,103.45,0.00,0.00,40.37,0.00,0.00
varchar_queries_64_select,4,4,103.52,103.52,103.52,0.00,0.00,38.94,0.00,0.00
varchar_queries_64_select,6,4,105.00,105.00,105.00,0.00,0.00,39.65,0.00,0.00
varchar_queries_64_select,8,4,105.00,105.00,105.00,0.00,0.00,38.25,0.00,0.00
varchar_queries_64_select,10,4,104.50,104.50,104.50,0.00,0.00,38.25,0.00,0.00
varchar_queries_64_select,12,4,105.50,105.50,105.50,0.00,0.00,38.25,0.00,0.00
varchar_queries_64_select,14,4,104.50,104.50,104.50,0.00,0.00,38.25,0.00,0.00
varchar_queries_64_select,16,4,104.50,104.50,104.50,0.00,0.00,38.25,0.00,0.00
varchar_queries_64_select,18,4,105.00,105.00,105.00,0.00,0.00,38.25,0.00,0.00
