Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
int_queries_insert,2,4,0.00,3282.43,0.00,818.61,2463.82,0.00,0.00,0.00
int_queries_insert,4,4,0.00,3194.71,0.00,798.68,2396.03,0.00,0.00,0.00
int_queries_insert,6,4,0.00,3260.08,0.00,815.02,2445.06,0.00,0.00,0.00
int_queries_insert,8,4,0.00,2835.97,0.00,708.99,2126.98,0.00,0.00,0.00
int_queries_insert,10,4,0.00,3413.94,0.00,853.48,2560.45,0.00,0.00,0.00
int_queries_insert,12,4,0.00,4172.00,0.00,1043.00,3129.00,0.00,0.00,0.00
int_queries_insert,14,4,0.00,3868.02,0.00,967.01,2901.02,0.00,0.00,0.00
int_queries_insert,16,4,0.00,3188.04,0.00,797.01,2391.03,0.00,0.00,0.00
int_queries_insert,18,4,0.00,2858.04,0.00,714.51,2143.53,0.00,0.00,0.00
int_queries_insert,20,4,0.00,2858.06,0.00,714.51,2143.54,0.00,0.00,0.00
int_queries_insert,22,4,0.00,2747.93,0.00,686.98,2060.95,0.00,0.00,0.00
int_queries_insert,24,4,0.00,2996.02,0.00,749.01,2247.02,0.00,0.00,0.00
int_queries_insert,26,4,0.00,3133.77,0.00,783.44,2350.33,0.00,0.00,0.00
int_queries_select,2,4,139.94,139.94,139.94,0.00,0.00,29.19,0.00,0.00
int_queries_select,4,4,142.02,142.02,142.02,0.00,0.00,28.67,0.00,0.00
int_queries_select,6,4,144.00,144.00,144.00,0.00,0.00,28.16,0.00,0.00
int_queries_select,8,4,142.50,142.50,142.50,0.00,0.00,28.67,0.00,0.00
int_queries_select,10,4,143.00,143.00,143.00,0.00,0.00,28.16,0.00,0.00
int_queries_select,12,4,143.50,143.50,143.50,0.00,0.00,28.16,0.00,0.00
int_queries_select,14,4,143.00,143.00,143.00,0.00,0.00,28.16,0.00,0.00
int_queries_select,16,4,142.50,142.50,142.50,0.00,0.00,28.16,0.00,0.00
int_queries_select,18,4,142.50,142.50,142.50,0.00,0.00,28.16,0.00,0.00
