Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
column_prefix,1,1,689.53,1395.94,689.53,703.41,3.00,1.50,0.00,0.00,706.41
column_prefix,2,1,694.11,1396.40,694.11,702.29,0.00,1.52,0.00,0.00,702.29
column_prefix,3,1,694.98,1354.00,694.98,659.02,0.00,1.50,0.00,0.00,659.02
column_prefix,4,1,691.07,1355.07,691.07,664.00,0.00,1.50,0.00,0.00,664.00
column_prefix,5,1,697.01,1466.00,697.01,768.99,0.00,1.50,0.00,0.00,768.99
column_prefix,6,1,643.96,1364.99,643.96,721.03,0.00,2.00,0.00,0.00,721.03
column_prefix,7,1,600.03,1419.97,599.03,818.94,2.00,6837.96,0.00,0.00,820.94
column_prefix,8,1,649.00,1289.02,649.00,640.02,0.00,1.96,0.00,0.00,640.02
combined_match_with_range,1,1,3545.65,4252.06,3545.65,703.41,3.00,0.31,0.00,0.00,706.41
combined_match_with_range,2,1,3550.77,4253.06,3550.77,702.29,0.00,0.31,0.00,0.00,702.29
combined_match_with_range,3,1,3639.96,4298.98,3639.96,659.02,0.00,0.30,0.00,0.00,659.02
combined_match_with_range,4,1,3584.78,4248.78,3584.78,664.00,0.00,0.31,0.00,0.00,664.00
combined_match_with_range,5,1,3650.03,4419.02,3650.03,768.99,0.00,0.30,0.00,0.00,768.99
combined_match_with_range,6,1,3659.02,4380.05,3659.02,721.03,0.00,0.30,0.00,0.00,721.03
combined_match_with_range,7,1,3583.19,4403.13,3582.19,818.94,2.00,6836.27,0.00,0.00,820.94
combined_match_with_range,8,1,3603.93,4243.95,3603.93,640.02,0.00,0.31,0.00,0.00,640.02
exact_with_prefix,1,1,2461.26,3167.67,2461.26,703.41,3.00,0.43,0.00,0.00,706.41
exact_with_prefix,2,1,2493.57,3195.86,2493.57,702.29,0.00,0.43,0.00,0.00,702.29
exact_with_prefix,3,1,2460.04,3119.06,2460.04,659.02,0.00,0.44,0.00,0.00,659.02
exact_with_prefix,4,1,2472.00,3136.00,2472.00,664.00,0.00,0.43,0.00,0.00,664.00
exact_with_prefix,5,1,2465.79,3234.78,2465.79,768.99,0.00,0.44,0.00,0.00,768.99
exact_with_prefix,6,1,2449.20,3170.23,2449.20,721.03,0.00,0.44,0.00,0.00,721.03
exact_with_prefix,7,1,2466.99,3286.93,2465.99,818.94,2.00,6836.39,0.00,0.00,820.94
exact_with_prefix,8,1,2410.76,3050.78,2410.76,640.02,0.00,0.45,0.00,0.00,640.02
full_match,1,1,4190.92,4897.33,4190.92,703.41,3.00,0.27,0.00,0.00,706.41
full_match,2,1,4212.02,4914.31,4212.02,702.29,0.00,0.26,0.00,0.00,702.29
full_match,3,1,4263.05,4922.07,4263.05,659.02,0.00,0.26,0.00,0.00,659.02
full_match,4,1,4287.92,4951.92,4287.92,664.00,0.00,0.26,0.00,0.00,664.00
full_match,5,1,4041.12,4810.11,4041.12,768.99,0.00,0.31,0.00,0.00,768.99
full_match,6,1,4271.02,4992.05,4271.02,721.03,0.00,0.26,0.00,0.00,721.03
full_match,7,1,4224.91,5044.85,4223.91,818.94,2.00,6836.23,0.00,0.00,820.94
full_match,8,1,4256.72,4896.74,4256.72,640.02,0.00,0.26,0.00,0.00,640.02
leftmost_prefix,1,1,1299.89,2006.30,1299.89,703.41,3.00,0.81,0.00,0.00,706.41
leftmost_prefix,2,1,1333.51,2035.80,1333.51,702.29,0.00,0.78,0.00,0.00,702.29
leftmost_prefix,3,1,1323.00,1982.02,1323.00,659.02,0.00,0.78,0.00,0.00,659.02
leftmost_prefix,4,1,1329.00,1993.00,1329.00,664.00,0.00,0.78,0.00,0.00,664.00
