Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
int_queries_insert,2,4,0.00,3244.59,0.00,809.15,2435.44,0.00,0.00,0.00
int_queries_insert,4,4,0.00,3353.54,0.00,838.63,2514.90,0.00,0.00,0.00
int_queries_insert,6,4,0.00,3459.13,0.00,864.53,2594.60,0.00,0.00,0.00
int_queries_insert,8,4,0.00,2875.92,0.00,718.98,2156.94,0.00,0.00,0.00
int_queries_insert,10,4,0.00,3172.01,0.00,793.00,2379.01,0.00,0.00,0.00
int_queries_insert,12,4,0.00,2300.01,0.00,575.00,1725.00,0.00,0.00,0.00
int_queries_insert,14,4,0.00,3010.07,0.00,752.52,2257.55,0.00,0.00,0.00
int_queries_insert,16,4,0.00,2429.92,0.00,607.48,1822.44,0.00,0.00,0.00
int_queries_insert,18,4,0.00,2636.07,0.00,659.02,1977.05,0.00,0.00,0.00
int_queries_insert,20,4,0.00,2380.03,0.00,595.01,1785.03,0.00,0.00,0.00
int_queries_insert,22,4,0.00,2423.94,0.00,605.98,1817.95,0.00,0.00,0.00
int_queries_insert,24,4,0.00,2364.04,0.00,591.01,1773.03,0.00,0.00,0.00
int_queries_insert,26,4,0.00,2367.91,0.00,591.98,1775.94,0.00,0.00,0.00
int_queries_insert,28,4,0.00,2676.09,0.00,669.02,2007.07,0.00,0.00,0.00
int_queries_insert,30,4,0.00,2708.02,0.00,677.01,2031.02,0.00,0.00,0.00
int_queries_select,2,4,141.44,141.44,141.44,0.00,0.00,28.67,0.00,0.00
int_queries_select,4,4,142.52,142.52,142.52,0.00,0.00,28.67,0.00,0.00
int_queries_select,6,4,144.00,144.00,144.00,0.00,0.00,28.16,0.00,0.00
int_queries_select,8,4,143.00,143.00,143.00,0.00,0.00,28.16,0.00,0.00
int_queries_select,10,4,144.00,144.00,144.00,0.00,0.00,28.16,0.00,0.00
int_queries_select,12,4,144.00,144.00,144.00,0.00,0.00,28.16,0.00,0.00
int_queries_select,14,4,144.00,144.00,144.00,0.00,0.00,28.16,0.00,0.00
int_queries_select,16,4,142.50,142.50,142.50,0.00,0.00,28.67,0.00,0.00
int_queries_select,18,4,143.50,143.50,143.50,0.00,0.00,28.16,0.00,0.00
varchar_queries_1_insert,2,4,0.00,3087.91,0.00,770.10,2317.81,0.00,0.00,0.00
varchar_queries_1_insert,4,4,0.00,3179.32,0.00,794.70,2384.61,0.00,0.00,0.00
varchar_queries_1_insert,6,4,0.00,3114.02,0.00,778.51,2335.52,0.00,0.00,0.00
varchar_queries_1_insert,8,4,0.00,2623.98,0.00,656.00,1967.99,0.00,0.00,0.00
varchar_queries_1_insert,10,4,0.00,2666.04,0.00,666.51,1999.53,0.00,0.00,0.00
varchar_queries_1_insert,12,4,0.00,2597.98,0.00,649.50,1948.49,0.00,0.00,0.00
varchar_queries_1_insert,14,4,0.00,2488.07,0.00,622.02,1866.05,0.00,0.00,0.00
varchar_queries_1_insert,16,4,0.00,2577.99,0.00,644.50,1933.49,0.00,0.00,0.00
varchar_queries_1_insert,18,4,0.00,2407.97,0.00,601.99,1805.97,0.00,0.00,0.00
varchar_queries_1_insert,20,4,0.00,2399.98,0.00,599.99,1799.98,0.00,0.00,0.00
varchar_queries_1_insert,22,4,0.00,2131.99,0.00,533.00,1598.99,0.00,0.00,0.00
varchar_queries_1_insert,24,4,0.00,2034.05,0.00,508.51,1525.54,0.00,0.00,0.00
varchar_queries_1_insert,26,4,0.00,2205.99,0.00,551.50,1654.49,0.00,0.00,0.00
varchar_queries_1_insert,28,4,0.00,2336.00,0.00,584.00,1752.00,0.00,0.00,0.00
varchar_queries_1_insert,30,4,0.00,2541.92,0.00,635.48,1906.44,0.00,0.00,0.00
varchar_queries_1_insert,32,4,0.00,2598.09,0.00,649.52,1948.57,0.00,0.00,0.00
varchar_queries_1_select,2,4,122.44,122.44,122.44,0.00,0.00,33.12,0.00,0.00
varchar_queries_1_select,4,4,125.52,125.52,125.52,0.00,0.00,32.53,0.00,0.00
varchar_queries_1_select,6,4,124.50,124.50,124.50,0.00,0.00,32.53,0.00,0.00
varchar_queries_1_select,8,4,125.00,125.00,125.00,0.00,0.00,32.53,0.00,0.00
varchar_queries_1_select,10,4,124.50,124.50,124.50,0.00,0.00,32.53,0.00,0.00
varchar_queries_1_select,12,4,125.50,125.50,125.50,0.00,0.00,32.53,0.00,0.00
varchar_queries_1_select,14,4,125.50,125.50,125.50,0.00,0.00,32.53,0.00,0.00
varchar_queries_1_select,16,4,125.00,125.00,125.00,0.00,0.00,32.53,0.00,0.00
varchar_queries_1_select,18,4,125.00,125.00,125.00,0.00,0.00,32.53,0.00,0.00
varchar_queries_64_insert,2,4,0.00,2208.97,0.00,550.24,1658.73,0.00,0.00,0.00
varchar_queries_64_insert,4,4,0.00,2056.51,0.00,514.13,1542.38,0.00,0.00,0.00
